latitude,longitude,depth,magnitude,earthquake
31.103,-103.397,89.60650873151901,1.5,0
64.168,-148.052,50.69591196681163,1.7,0
35.91483333,-95.16933333,74.03083842749814,1.79,0
19.4046669006348,-155.280838012695,27.01730792976479,1.8,0
19.4816665649414,-155.470840454102,49.63919986284439,1.75,0
18.4861666666667,-64.4573333333333,55.10805009539635,2.9,0
38.8308334350586,-122.817832946777,9.149894881757517,1.07,0
37.1192,-115.3138,92.1034119039775,2.79,0
-44.6333,37.2902,88.72950698275842,5.2,1
61.823,-147.095,75.82300673482682,1.1,0
-44.6347,37.2759,94.10217284243681,5.1,1
-44.5433,37.4117,21.588694116637498,5.0,0
43.663,-121.42133333333334,43.29055554028293,1.25,0
29.308,-98.034,50.99974682467528,1.5,0
-44.652,37.4301,81.87492879229363,5.1,1
37.2115,-115.3807,94.39791839466004,1.51,0
57.6153333333333,-155.920333333333,32.08195519456631,1.47,0
39.3217,-119.0377,28.172133816205008,3.19,0
19.406665802002,-155.281661987305,93.06712121982206,1.81,0
33.8883333333333,-116.281833333333,27.845007862278717,1.38,0
31.611,-104.344,25.36026025963718,1.7,0
38.5793333333333,-112.586166666667,67.31721348305898,1.82,0
37.1136,-115.2928,95.24764422093408,1.76,0
37.1182,-115.2965,61.99674855485943,3.2,0
37.1165,-115.2978,99.23072647342087,1.58,0
31.628,-104.351,57.775616869282246,1.5,0
37.1532,-114.6117,37.70660875374857,1.74,0
60.073,-152.607,75.7379248673102,3.0,0
33.8898333333333,-116.2805,56.20299882233863,1.4,0
32.879,-96.902,25.50944945456652,2.2,0
37.1132,-115.3011,91.25430379200282,4.41,0
43.2595,-120.39666666666666,41.41164093918304,1.49,0
-18.0409,-178.1369,84.205123110108,4.5,0
39.3172,-119.0736,55.001073186111064,2.12,0
34.0325,-116.806666666667,12.916834292104667,3.0,0
34.0373333333333,-116.803833333333,18.59933247049976,1.23,0
19.404333114624,-155.403839111328,80.1441854303777,1.88,0
33.8903333333333,-116.2805,85.06682450250324,1.16,0
34.399,-118.92,51.24867811809027,1.38,0
63.454,-151.15,53.024139281991175,2.3,0
39.3361,-119.0233,74.01712185413173,2.74,0
40.264,-109.393333333333,68.19603993304646,1.87,0
39.2842,-119.0868,92.91982299353432,1.73,0
57.466,-154.825,32.06880364091326,2.5,0
62.076,-150.69,97.11326453224208,1.5,0
61.117,-151.431,41.07037715278613,1.3,0
19.4033333333333,-155.280333333333,26.038068259038617,1.71,0
64.89,-149.151,57.15556922880885,2.1,0
33.89,-116.283166666667,32.878219561890205,1.3,0
33.89,-116.282333333333,78.22222622938308,1.08,0
19.1876659393311,-155.351333618164,58.41765358147528,1.76,0
60.382,-150.269,66.03600043668207,1.4,0
62.906,-151.304,46.14121544197055,1.5,0
31.626,-104.117,86.2961931159393,1.5,0
-36.3183,-98.7783,80.70700974938477,4.7,0
38.8271675109863,-122.811836242676,13.773424028542081,1.09,0
35.255,-84.2923333333333,16.63803616232443,1.79,0
32.108,-101.896,11.620478662549232,1.5,0
61.193,-150.377,19.042855702421463,1.6,0
60.317,-147.149,56.19393454578459,1.4,0
33.8915,-116.279333333333,90.8467041731836,1.02,0
34.0313333333333,-117.190666666667,56.933246917769935,1.98,0
19.4031658172607,-155.282501220703,22.129238265527967,1.76,0
31.636,-104.31,32.01943483452416,1.9,0
60.972,-146.918,53.26276944034835,1.5,0
35.15733333,-98.09733333,29.17382521460573,2.08,0
60.654,-147.816,28.32382223257384,1.3,0
19.3381666666667,-155.21,9.148084856341816,2.09,0
62.262,-150.384,64.1563637675468,2.4,0
39.2783,-119.0893,44.68672875692383,2.47,0
33.4845,-116.396166666667,57.0453863378082,1.71,0
19.154,-155.461,13.109148037863367,1.68,0
39.2742,-119.099,60.772468849025735,2.03,0
28.898,-99.031,84.52930277201733,1.9,0
39.2807,-119.0939,59.58306152290062,1.95,0
34.1871666666667,-118.019,67.56567619805432,1.09,0
63.058,-150.783,80.89247193243996,1.6,0
31.63,-104.34,33.07947834334557,2.1,0
-24.2444,179.7163,41.21378266168124,4.4,0
62.177,-148.271,93.45874552243635,2.8,0
59.781,-151.803,22.607024824909967,1.6,0
66.278,-149.899,76.2057832749136,2.0,0
-19.9846,-71.0682,95.64590652088903,4.7,0
19.4055,-155.283333333333,58.05639666927476,1.48,0
38.8373336791992,-122.841331481934,74.36018317562316,1.35,0
38.8248329162598,-122.801666259766,36.122780054003684,1.1,0
18.0375,-66.75,68.89570267489393,2.19,0
36.3636666666667,-89.56,85.24574973667924,1.47,0
